occurrence_no;record_type;reid_no;flags;collection_no;identified_name;identified_rank;identified_no;difference;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma;ref_author;ref_pubyr;reference_no;phylum;class;order;family;genus;plant_organ;plant_organ2;abund_value;abund_unit;lng;lat;occurrence_comments;collection_name;collection_subset;collection_aka;cc;state;county;latlng_basis;latlng_precision;geogscale;geogcomments;paleomodel;geoplate;paleoage;paleolng;paleolat;cc;protected;direct_ma;direct_ma_error;direct_ma_unit;direct_ma_method;max_ma;max_ma_error;max_ma_unit;max_ma_method;min_ma;min_ma_error;min_ma_unit;min_ma_method;formation;stratgroup;member;stratscale;zone;localsection;localbed;localbedunit;localorder;regionalsection;regionalbed;regionalbedunit;regionalorder;stratcomments;lithdescript;lithology1;lithadj1;lithification1;minor_lithology1;fossilsfrom1;lithology2;lithadj2;lithification2;minor_lithology2;fossilsfrom2;environment;tectonic_setting;geology_comments;assembl_comps;articulated_parts;associated_parts;common_body_parts;rare_body_parts;feed_pred_traces;artifacts;component_comments;pres_mode;preservation_quality;spatial_resolution;temporal_resolution;lagerstatten;concentration;orientation;abund_in_sediment;sorting;fragmentation;bioerosion;encrustation;preservation_comments;collection_type;collection_methods;museum;collection_coverage;collection_size;rock_censused;collectors;collection_dates;collection_comments;taxonomy_comments;research_group;taxon_environment;environment_basis;motility;life_habit;vision;diet;reproduction;ontogeny;ecospace_comments;composition;architecture;thickness;reinforcement;image_no
38781;occ;;;2955;Gisortia mahgoobi;species;111504;;Gisortia mahgoobi;;species;111504;Lutetian;;48.07;41.03;Abbass;1967;130;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Gisortia;;;;;31.250.000;30.049.999;;Egypt 5 (Mokattam);;;EG;;;based on political unit;minutes;local area;around the area of Mokattam;gplates;715;mid;32.97;17.sept;EG;;;;;;;;;;;;;;;;;;;;;;;;;;;this is a Middle Eocene, Upper Lutetian list;;"""shale""";;;calcareous;;"""limestone""";;;;;;;lithology described as interbedded marls and limestones;;;;;;;;;;;;;;;;;;;;;;biostratigraphic;;;some macrofossils;;;;;;;marine invertebrate,vertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
38801;occ;;;2958;Gisortia ibrahimi;species;111505;;Gisortia ibrahimi;;species;111505;Bartonian;;41.03;37.71;Abbass;1967;130;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Gisortia;;;;;32.360.001;25.440.001;;Egypt 8 (Ras El Ghorab);;;EG;;;based on political unit;seconds;local area;in the area of Ras El Ghorab;gplates;715;mid;33.55;13.87;EG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""carbonate""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biostratigraphic;;;some macrofossils;;;;;;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
38858;occ;;;2960;Bernaya quarunensis;species;111506;;Bernaya quarunensis;;species;111506;Bartonian;;41.03;37.71;Abbass;1967;130;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Bernaya;;;;;30.833.332;29.316.668;;Egypt 10 (Fayium);;;EG;;;based on political unit;minutes;local area;around the area of Fayium;gplates;715;mid;32.40;17.82;EG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""carbonate""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biostratigraphic;;;some macrofossils;;;;;;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
40221;occ;;;3115;Bernaya sp.;genus;9543;;Bernaya;;genus;9543;Paleocene;;66;56;Anderson;1975;142;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Bernaya;;;;;6.183.333;51.066.666;;Halde Sportplatz Ratheim;;;DE;;;based on political unit;minutes;;;gplates;315;mid;13.81;40.22;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biostratigraphic;;;;;;;;;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
42424;occ;;;3315;Cypraea n. sp. saltoensis;species;158362;recombined as;Barycypraea saltoensis;;species;158362;Late Eocene;;37.71;33.9;Clark and Durham;1946;182;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Barycypraea;;;;;-75.116.669;9.683.333;"originally entered as ""Cypraea saltoensis n. sp.""";UC S60;;;CO;Bolivar;;based on nearby landmark;minutes;small collection;in Carmen area;gplates;203;mid;-63.37;sept.58;CO;;;;;;;;;;;;;;;;;group of beds;;El Carmen;C;;;;;;;;;sandstone;gray;;calcareous;;conglomerate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biostratigraphic;;;;;;;;;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
42427;occ;;;3315;Gisortia colombiana;species;158358;;Gisortia colombiana;;species;158358;Late Eocene;;37.71;33.9;Clark and Durham;1946;182;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Gisortia;;;;;-75.116.669;9.683.333;;UC S60;;;CO;Bolivar;;based on nearby landmark;minutes;small collection;in Carmen area;gplates;203;mid;-63.37;sept.58;CO;;;;;;;;;;;;;;;;;group of beds;;El Carmen;C;;;;;;;;;sandstone;gray;;calcareous;;conglomerate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biostratigraphic;;;;;;;;;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
44858;occ;;;3534;Cypraeorbis ventripotens;species;342147;;Cypraeorbis ventripotens;;species;342144;Bartonian;;41.03;37.71;Toulmin;1977;124;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraeorbis;;;3;specimens;-92.147.224;32.234.165;;Montgomery Landing (Moodys Branch);;;US;Louisiana;Grant;based on nearby landmark;seconds;small collection;Montgomery Landing, on the Red River in SE1/4 sec. 25, T 8 N, R 5 W;gplates;101;mid;-74.86;36.59;US;;;;;;;;;;;;;;Moodys Branch;Jackson;;group of beds;;;;;;;;;;"supposedly ""Auversian""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55997;occ;;;4187;"""Cypraea"" sp.";genus;9724;;Cypraea;;genus;9724;Late Maastrichtian;;72.2;66;Sohl and Koch;1983;283;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;1;specimens;-88.195.000;32.573.055;;USGS 5400, 6802, Livingston;;Sohl and Koch OFR # 120;US;Alabama;Sumter;based on nearby landmark;seconds;outcrop;Livingston-Curls Station road, about three-quarters of a mile south of the courthouse at Livingston, Ala., and just south of the bridge over Sucarnochee Creek.;gplates;101;mid;-54.84;38.86;US;;;;;;;;;;;;;;Prairie Bluff;;;group of beds;Discoscaphites conradi;;;;;;;;;Haustator bilira assemblage zone;;claystone;gray;;;;;;;;;marine indet.;passive margin;;mesofossils;;;;;;;;body,original calcite;;;;;;;;;;;;;paleoecologic;field collection;USNM;some macrofossils;;;L.W. Stephenson;;;;GCP,marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
73264;occ;;;5344;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Bartonian;;41.03;37.71;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-80.148.613;33.327.221;;BE-0 (Upper Santee Limestone, South Carolina);;;US;South Carolina;Berkeley;based on political unit;seconds;outcrop;Martin-Marietta Berkeley Quarry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73481;occ;;;5353;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Bartonian;;41.03;37.71;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-80.147.781;33.375.000;;BE-8 (Santee Limestone, South Carolina);;;US;South Carolina;Berkeley;based on political unit;seconds;outcrop;Eastern side of intersection of S.C. 45 and the Diversion Canal, northern Berkeley County;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
